cancellation_id,cancellation_date,original_checkin_date,lead_time_days,conflict_phase,hotel_chain,hotel_tier,country,city,guest_nationality,booking_type,nights_booked,guests,room_type,adr_usd,revenue_lost_usd,cancellation_reason,refund_issued,channel
CXL-0044,2026-03-25,2026-03-30,5,Peak Crisis,Rotana Hotels,Upper-Upscale,Jordan,Aqaba,Australian,Leisure,5,5,Suite,1194.47,5972.36,Corporate travel ban,Partial Refund,GDS
CXL-0045,2026-02-02,2026-03-29,55,Peak Crisis,Four Seasons Hotels,Luxury,Oman,Muscat,Spanish,MICE,11,2,Deluxe,567.76,6245.36,Flight rerouting — extended journey,Voucher,Direct Website
CXL-0046,2026-01-01,2026-03-13,71,Peak Crisis,Wyndham Hotels,Mid/Upper-Mid,Kuwait,Kuwait City,Chinese,Leisure,4,6,Deluxe,1179.18,4716.71,Flight rerouting — extended journey,No Refund,GDS
CXL-0047,2026-01-05,2026-03-07,61,Peak Crisis,Wyndham Hotels,Mid/Upper-Mid,Lebanon,Beirut,Italian,Honeymoon,4,5,Suite,506.26,2025.02,Insurance non-coverage,Partial Refund,Direct Website
CXL-0048,2026-01-16,2026-02-16,31,Peak Crisis,Best Western,Mid-Scale,Jordan,Petra,Italian,MICE,5,6,Standard,1016.02,5080.11,Flight rerouting — extended journey,Partial Refund,Travel Agent
CXL-0049,2025-12-23,2025-12-27,4,Active Conflict,Marriott International,Luxury/Upper-Upscale,Saudi Arabia,Mecca,Spanish,MICE,12,4,Standard,510.4,6124.78,Corporate travel ban,Full Refund,OTA
CXL-0050,2026-01-19,2026-03-12,52,Peak Crisis,Sofitel (Accor),Luxury,Oman,Muscat,Russian,Business,9,4,Deluxe,1192.21,10729.85,Force majeure — war clause,Voucher,Travel Agent
CXL-0051,2025-09-18,2025-10-22,34,Active Conflict,Four Seasons Hotels,Luxury,Jordan,Aqaba,Brazilian,Business,1,2,Presidential Suite,510.38,510.38,Airline suspension of routes,Voucher,GDS
CXL-0052,2025-02-07,2025-02-13,6,Escalation,Sofitel (Accor),Luxury,Iraq,Erbil,American,Leisure,14,1,Deluxe,238.06,3332.9,Cruise ship rerouted,Voucher,Travel Agent
CXL-0053,2024-09-30,2024-10-14,14,Pre-Tension,Hilton Worldwide,Luxury/Upper-Upscale,Iraq,Erbil,Indian,Honeymoon,7,3,Presidential Suite,1761.64,12331.5,Flight rerouting — extended journey,Voucher,Direct Website
CXL-0054,2026-01-31,2026-03-27,55,Peak Crisis,Hilton Worldwide,Luxury/Upper-Upscale,UAE,Ras Al Khaimah,Chinese,Group,5,3,Suite,504.69,2523.44,Force majeure — war clause,Voucher,Corporate
CXL-0055,2026-02-13,2026-02-14,1,Peak Crisis,Best Western,Mid-Scale,Oman,Muscat,British,Group,1,2,Pool Villa,1404.87,1404.87,Flight rerouting — extended journey,No Refund,Travel Agent
CXL-0056,2026-01-08,2026-03-10,61,Peak Crisis,Sofitel (Accor),Luxury,Saudi Arabia,NEOM area,American,Business,12,5,Pool Villa,1272.33,15267.96,Safety concerns — conflict proximity,Partial Refund,Travel Agent
CXL-0057,2026-04-28,2026-05-12,14,Post-Ceasefire,Radisson Hotel Group,Upper-Upscale,Qatar,Doha,Canadian,Honeymoon,8,3,Pool Villa,750.46,6003.68,Force majeure — war clause,Full Refund,Direct Website
CXL-0058,2026-05-02,2026-06-02,31,Post-Ceasefire,Radisson Hotel Group,Upper-Upscale,Jordan,Petra,Japanese,Leisure,1,3,Presidential Suite,1662.5,1662.5,MICE event cancelled,Full Refund,OTA
CXL-0059,2026-02-21,2026-03-16,23,Peak Crisis,Sofitel (Accor),Luxury,Saudi Arabia,Riyadh,British,Group,7,3,Pool Villa,217.37,1521.58,Airline suspension of routes,No Refund,Travel Agent
CXL-0060,2026-02-04,2026-03-08,32,Peak Crisis,IHG Hotels & Resorts,Upper-Upscale,Bahrain,Manama,Chinese,Group,5,5,Deluxe,1538.35,7691.76,Insurance non-coverage,No Refund,GDS
CXL-0061,2026-01-01,2026-02-07,37,Peak Crisis,Radisson Hotel Group,Upper-Upscale,Kuwait,Kuwait City,British,Business,3,5,Standard,245.3,735.89,Flight rerouting — extended journey,Partial Refund,Travel Agent
CXL-0062,2026-02-02,2026-02-17,15,Peak Crisis,Radisson Hotel Group,Upper-Upscale,Saudi Arabia,Medina,South Korean,Honeymoon,12,5,Suite,687.28,8247.32,Force majeure — war clause,No Refund,OTA
CXL-0063,2026-03-26,2026-03-30,4,Peak Crisis,Marriott International,Luxury/Upper-Upscale,Oman,Muscat,British,Group,4,2,Suite,1753.33,7013.34,Insurance non-coverage,Full Refund,GDS
CXL-0064,2025-01-14,2025-01-29,15,Escalation,IHG Hotels & Resorts,Upper-Upscale,Oman,Muscat,German,Honeymoon,14,6,Pool Villa,212.31,2972.35,Cruise ship rerouted,Voucher,Travel Agent
CXL-0065,2025-01-06,2025-03-23,76,Escalation,Wyndham Hotels,Mid/Upper-Mid,Qatar,Doha,British,Business,14,4,Standard,731.83,10245.62,Flight rerouting — extended journey,Full Refund,GDS
CXL-0066,2025-12-21,2025-12-21,0,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,Qatar,Al Rayyan,Brazilian,Honeymoon,3,1,Suite,343.83,1031.5,Airline suspension of routes,Full Refund,Corporate
CXL-0067,2026-05-12,2026-05-12,0,Post-Ceasefire,Hyatt Hotels,Luxury/Upper-Upscale,UAE,Sharjah,Japanese,Business,4,1,Standard,1246.1,4984.39,Insurance non-coverage,Partial Refund,OTA
CXL-0068,2025-07-02,2025-09-28,88,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,UAE,Ajman,Indian,Group,1,3,Deluxe,640.58,640.58,Hotel temporarily closed,No Refund,Travel Agent
CXL-0069,2026-03-04,2026-03-23,19,Peak Crisis,Rotana Hotels,Upper-Upscale,Egypt,Cairo,German,MICE,13,5,Suite,1702.93,22138.14,Cruise ship rerouted,No Refund,Direct Website
CXL-0070,2026-01-14,2026-03-02,47,Peak Crisis,Hyatt Hotels,Luxury/Upper-Upscale,Saudi Arabia,Dammam,French,Honeymoon,8,2,Deluxe,1568.28,12546.23,Insurance non-coverage,No Refund,Direct Website
CXL-0071,2026-01-13,2026-03-18,64,Peak Crisis,Sofitel (Accor),Luxury,Oman,Muscat,Canadian,Group,6,3,Pool Villa,1216.76,7300.56,Hotel temporarily closed,Full Refund,GDS
CXL-0072,2026-06-15,2026-06-16,1,Post-Ceasefire,Anantara Hotels,Luxury,Bahrain,Manama,Italian,Honeymoon,9,1,Suite,1099.06,9891.53,Force majeure — war clause,No Refund,Corporate
CXL-0073,2025-06-27,2025-09-21,86,Active Conflict,Sofitel (Accor),Luxury,Oman,Muscat,Indian,Honeymoon,12,3,Standard,995.62,11947.48,Corporate travel ban,Full Refund,Corporate
CXL-0074,2026-03-25,2026-03-27,2,Peak Crisis,Four Seasons Hotels,Luxury,Kuwait,Kuwait City,Chinese,Leisure,5,1,Presidential Suite,541.59,2707.95,Insurance non-coverage,No Refund,GDS
CXL-0075,2026-03-18,2026-03-29,11,Peak Crisis,Sofitel (Accor),Luxury,Bahrain,Muharraq,Brazilian,Leisure,6,5,Pool Villa,992.79,5956.72,Safety concerns — conflict proximity,Partial Refund,Travel Agent
CXL-0076,2025-08-24,2025-10-01,38,Active Conflict,Kempinski Hotels,Luxury,Egypt,Hurghada,South Korean,Business,8,4,Suite,597.99,4783.92,Force majeure — war clause,Full Refund,Direct Website
CXL-0077,2025-09-23,2025-10-11,18,Active Conflict,Radisson Hotel Group,Upper-Upscale,Kuwait,Kuwait City,British,Group,10,4,Standard,1165.9,11658.97,Force majeure — war clause,No Refund,GDS
CXL-0078,2026-02-06,2026-03-13,35,Peak Crisis,Radisson Hotel Group,Upper-Upscale,Kuwait,Kuwait City,American,Group,5,6,Presidential Suite,1545.0,7724.98,Safety concerns — conflict proximity,Partial Refund,Corporate
CXL-0079,2025-09-16,2025-12-09,84,Active Conflict,Hyatt Hotels,Luxury/Upper-Upscale,Egypt,Cairo,Chinese,Leisure,6,3,Deluxe,1117.1,6702.62,Flight rerouting — extended journey,Voucher,Travel Agent
CXL-0080,2025-12-05,2025-12-30,25,Active Conflict,Accor Group,Multi-Scale,UAE,Ras Al Khaimah,German,Group,2,2,Deluxe,1653.59,3307.18,Cruise ship rerouted,Voucher,Travel Agent
CXL-0081,2025-12-24,2025-12-25,1,Active Conflict,Hilton Worldwide,Luxury/Upper-Upscale,Kuwait,Kuwait City,American,Group,12,6,Standard,483.23,5798.77,Airspace closure — flight cancelled,No Refund,GDS
CXL-0082,2026-05-14,2026-06-18,35,Post-Ceasefire,Wyndham Hotels,Mid/Upper-Mid,Bahrain,Muharraq,South African,MICE,6,5,Presidential Suite,1739.65,10437.92,Safety concerns — conflict proximity,Full Refund,Travel Agent
CXL-0083,2026-06-24,2026-06-25,1,Post-Ceasefire,Mandarin Oriental,Ultra-Luxury,Bahrain,Muharraq,Brazilian,Group,11,4,Presidential Suite,1303.94,14343.3,Hotel temporarily closed,Full Refund,Corporate
CXL-0084,2026-03-20,2026-03-25,5,Peak Crisis,Mandarin Oriental,Ultra-Luxury,UAE,Sharjah,Japanese,Group,12,5,Standard,301.24,3614.82,Force majeure — war clause,Partial Refund,OTA
CXL-0085,2025-09-03,2025-10-15,42,Active Conflict,Wyndham Hotels,Mid/Upper-Mid,Egypt,Sharm el-Sheikh,Italian,Honeymoon,13,2,Presidential Suite,304.26,3955.35,MICE event cancelled,Partial Refund,Direct Website
CXL-0086,2025-09-07,2025-09-12,5,Active Conflict,Sofitel (Accor),Luxury,Iraq,Baghdad,British,Honeymoon,2,6,Pool Villa,1271.95,2543.9,Hotel temporarily closed,No Refund,OTA
CXL-0087,2026-04-05,2026-05-22,47,Post-Ceasefire,Rotana Hotels,Upper-Upscale,Oman,Muscat,Brazilian,Business,2,1,Deluxe,328.24,656.49,Airspace closure — flight cancelled,Partial Refund,Travel Agent
CXL-0088,2025-06-09,2025-08-26,78,Active Conflict,Four Seasons Hotels,Luxury,Bahrain,Manama,Australian,Honeymoon,4,5,Standard,865.16,3460.63,Safety concerns — conflict proximity,Full Refund,Direct Website
CXL-0089,2026-03-23,2026-03-30,7,Peak Crisis,Kempinski Hotels,Luxury,Lebanon,Beirut,French,Honeymoon,2,5,Suite,1028.29,2056.58,Force majeure — war clause,Voucher,Corporate
CXL-0090,2025-04-16,2025-05-14,28,Escalation,IHG Hotels & Resorts,Upper-Upscale,Jordan,Aqaba,Spanish,Business,12,3,Standard,1603.12,19237.43,Hotel temporarily closed,Partial Refund,GDS
CXL-0091,2026-01-12,2026-02-04,23,Peak Crisis,Four Seasons Hotels,Luxury,Kuwait,Kuwait City,Australian,MICE,13,4,Deluxe,867.69,11280.0,Insurance non-coverage,No Refund,GDS
CXL-0092,2026-02-02,2026-03-03,29,Peak Crisis,Mandarin Oriental,Ultra-Luxury,Lebanon,Beirut,South Korean,Group,11,2,Presidential Suite,1406.68,15473.5,Airline suspension of routes,Voucher,Corporate
CXL-0093,2026-02-11,2026-03-16,33,Peak Crisis,Four Seasons Hotels,Luxury,Saudi Arabia,NEOM area,Brazilian,MICE,9,4,Suite,881.98,7937.86,MICE event cancelled,Partial Refund,GDS
CXL-0094,2025-09-23,2025-12-16,84,Active Conflict,Anantara Hotels,Luxury,Saudi Arabia,Mecca,French,Honeymoon,5,4,Pool Villa,1495.49,7477.44,Corporate travel ban,Partial Refund,OTA
CXL-0095,2026-02-12,2026-03-11,27,Peak Crisis,Kempinski Hotels,Luxury,Jordan,Aqaba,British,Business,3,2,Presidential Suite,1164.83,3494.5,MICE event cancelled,Full Refund,Corporate
CXL-0096,2026-05-19,2026-06-05,17,Post-Ceasefire,Best Western,Mid-Scale,Iraq,Erbil,Japanese,Leisure,7,6,Standard,1793.4,12553.8,Cruise ship rerouted,Partial Refund,Direct Website
CXL-0097,2026-01-19,2026-02-19,31,Peak Crisis,Best Western,Mid-Scale,Qatar,Al Rayyan,South African,Leisure,9,4,Deluxe,376.66,3389.96,Flight rerouting — extended journey,Partial Refund,Direct Website
CXL-0098,2026-03-13,2026-03-21,8,Peak Crisis,Kempinski Hotels,Luxury,UAE,Ras Al Khaimah,Russian,Group,12,1,Suite,486.19,5834.3,Hotel temporarily closed,No Refund,Travel Agent
CXL-0099,2026-01-07,2026-02-09,33,Peak Crisis,Rotana Hotels,Upper-Upscale,Oman,Salalah,South African,MICE,7,6,Presidential Suite,1470.14,10290.96,Cruise ship rerouted,Voucher,GDS
CXL-0100,2026-02-28,2026-03-24,24,Peak Crisis,Marriott International,Luxury/Upper-Upscale,Lebanon,Beirut,Italian,Business,6,3,Presidential Suite,260.72,1564.33,Cruise ship rerouted,Voucher,Travel Agent
CXL-0101,2025-08-05,2025-10-21,77,Active Conflict,Best Western,Mid-Scale,Kuwait,Kuwait City,Chinese,Group,4,2,Standard,920.37,3681.49,Force majeure — war clause,Voucher,GDS
CXL-0102,2025-03-06,2025-04-07,32,Escalation,Marriott International,Luxury/Upper-Upscale,Qatar,Doha,Canadian,Honeymoon,5,2,Presidential Suite,294.84,1474.19,Flight rerouting — extended journey,No Refund,Travel Agent
CXL-0103,2026-02-17,2026-02-25,8,Peak Crisis,Wyndham Hotels,Mid/Upper-Mid,UAE,Abu Dhabi,South Korean,Honeymoon,2,6,Suite,1097.82,2195.65,Cruise ship rerouted,Full Refund,GDS
CXL-0104,2025-11-08,2025-11-14,6,Active Conflict,Wyndham Hotels,Mid/Upper-Mid,Bahrain,Manama,Japanese,Leisure,14,5,Suite,677.18,9480.55,Airline suspension of routes,Partial Refund,Direct Website
CXL-0105,2026-03-06,2026-03-21,15,Peak Crisis,Four Seasons Hotels,Luxury,Jordan,Aqaba,Canadian,Honeymoon,4,2,Standard,1559.44,6237.78,Force majeure — war clause,Partial Refund,Direct Website
CXL-0106,2025-06-25,2025-06-25,0,Active Conflict,Anantara Hotels,Luxury,Jordan,Amman,American,Group,12,5,Standard,1165.74,13988.93,Airspace closure — flight cancelled,No Refund,Direct Website
CXL-0107,2025-01-21,2025-03-29,67,Escalation,Radisson Hotel Group,Upper-Upscale,Kuwait,Kuwait City,South African,MICE,14,6,Pool Villa,1434.54,20083.51,Insurance non-coverage,No Refund,Corporate
CXL-0108,2026-02-12,2026-02-20,8,Peak Crisis,Four Seasons Hotels,Luxury,Egypt,Cairo,Russian,Leisure,3,3,Standard,1167.1,3501.29,Force majeure — war clause,Partial Refund,GDS
CXL-0109,2026-06-04,2026-06-30,26,Post-Ceasefire,Accor Group,Multi-Scale,Bahrain,Manama,Australian,MICE,14,1,Standard,1185.39,16595.51,Airline suspension of routes,Full Refund,Travel Agent
CXL-0110,2025-02-09,2025-02-26,17,Escalation,Jumeirah Group,Ultra-Luxury,Saudi Arabia,Medina,Spanish,Business,10,4,Presidential Suite,624.38,6243.76,Government travel advisory Level 4,No Refund,Travel Agent
CXL-0111,2025-12-31,2025-12-31,0,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,UAE,Sharjah,Indian,Business,2,5,Standard,358.33,716.65,Safety concerns — conflict proximity,Voucher,Travel Agent
CXL-0112,2025-09-10,2025-09-15,5,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,Qatar,Doha,Chinese,MICE,7,1,Pool Villa,1642.14,11494.99,Airspace closure — flight cancelled,Voucher,Direct Website
CXL-0113,2025-08-23,2025-10-04,42,Active Conflict,Best Western,Mid-Scale,Oman,Muscat,Canadian,Business,8,2,Presidential Suite,1625.51,13004.07,Cruise ship rerouted,Voucher,OTA
CXL-0114,2025-03-22,2025-04-05,14,Escalation,Anantara Hotels,Luxury,UAE,Dubai,South African,Group,6,6,Pool Villa,1545.01,9270.04,Flight rerouting — extended journey,Full Refund,Travel Agent
CXL-0115,2026-02-10,2026-03-11,29,Peak Crisis,Hyatt Hotels,Luxury/Upper-Upscale,Saudi Arabia,Riyadh,Brazilian,Group,2,6,Presidential Suite,1012.21,2024.42,MICE event cancelled,Partial Refund,Direct Website
CXL-0116,2026-05-17,2026-05-29,12,Post-Ceasefire,Mandarin Oriental,Ultra-Luxury,Iraq,Baghdad,Brazilian,MICE,12,2,Suite,177.55,2130.62,Hotel temporarily closed,No Refund,Corporate
CXL-0117,2026-01-11,2026-03-05,53,Peak Crisis,Sofitel (Accor),Luxury,Oman,Salalah,French,Business,1,4,Standard,1109.77,1109.77,Hotel temporarily closed,Partial Refund,OTA
CXL-0118,2025-02-15,2025-04-06,50,Escalation,Four Seasons Hotels,Luxury,Kuwait,Kuwait City,Canadian,MICE,9,3,Standard,1186.33,10676.99,MICE event cancelled,Full Refund,Direct Website
CXL-0119,2026-02-08,2026-02-12,4,Peak Crisis,Four Seasons Hotels,Luxury,Saudi Arabia,Mecca,Spanish,MICE,5,5,Standard,982.3,4911.5,Airspace closure — flight cancelled,Partial Refund,Direct Website
CXL-0120,2025-12-16,2025-12-27,11,Active Conflict,Best Western,Mid-Scale,Bahrain,Manama,Australian,MICE,4,2,Suite,160.75,642.99,Airline suspension of routes,Voucher,OTA
CXL-0121,2024-10-03,2024-11-08,36,Pre-Tension,Mandarin Oriental,Ultra-Luxury,Saudi Arabia,Medina,Australian,Leisure,5,2,Deluxe,893.88,4469.41,Government travel advisory Level 4,Voucher,OTA
CXL-0122,2026-02-04,2026-03-04,28,Peak Crisis,Sofitel (Accor),Luxury,UAE,Dubai,Brazilian,Honeymoon,3,3,Deluxe,1311.21,3933.63,Hotel temporarily closed,Partial Refund,Direct Website
CXL-0123,2026-06-20,2026-06-29,9,Post-Ceasefire,Radisson Hotel Group,Upper-Upscale,Egypt,Cairo,Japanese,Leisure,11,5,Presidential Suite,767.28,8440.13,Insurance non-coverage,Voucher,GDS
CXL-0124,2024-11-05,2024-11-11,6,Pre-Tension,IHG Hotels & Resorts,Upper-Upscale,Egypt,Sharm el-Sheikh,Spanish,Leisure,12,5,Standard,544.32,6531.8,Cruise ship rerouted,No Refund,GDS
CXL-0125,2026-06-15,2026-06-17,2,Post-Ceasefire,Mandarin Oriental,Ultra-Luxury,Jordan,Petra,Canadian,Leisure,9,2,Presidential Suite,558.13,5023.13,MICE event cancelled,Partial Refund,Travel Agent
