month,conflict_phase,hotel_chain,chain_hq_country,chain_tier,country,risk_level,total_rooms,occupancy_rate_pct,adr_usd,revpar_usd,total_revenue_usd,expected_revenue_usd,revenue_loss_usd,revenue_loss_pct,booking_cancellations,avg_length_of_stay_nights
2025-11,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,43.29,294.62,127.53,2322272.0,3214501.0,892230.0,27.76,6405,1.16
2025-12,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,36.76,302.86,111.32,2027224.0,3214501.0,1187277.0,36.94,3802,2.84
2026-01,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,27.67,258.84,71.62,1304268.0,3214501.0,1910233.0,59.43,7921,1.47
2026-02,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,33.42,253.71,84.8,1544167.0,3214501.0,1670334.0,51.96,5530,3.12
2026-03,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,30.69,290.88,89.27,1625653.0,3214501.0,1588848.0,49.43,6243,1.36
2026-04,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,35.78,256.41,91.75,1670813.0,3214501.0,1543689.0,48.02,5738,5.18
2026-05,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,32.67,257.41,84.09,1531247.0,3214501.0,1683255.0,52.36,7905,3.12
2026-06,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,32.84,290.63,95.44,1737887.0,3214501.0,1476614.0,45.94,6434,2.77
2024-01,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,80.74,270.92,218.74,4547538.0,4891036.0,343499.0,7.02,1935,5.49
2024-02,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,84.61,318.81,269.75,5608014.0,4891036.0,0.0,0.0,2085,2.98
2024-03,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,79.2,305.37,241.86,5028342.0,4891036.0,0.0,0.0,1310,4.77
2024-04,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,80.12,272.97,218.69,4546563.0,4891036.0,344473.0,7.04,2154,2.59
2024-05,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,82.09,295.57,242.62,5044083.0,4891036.0,0.0,0.0,2465,4.88
2024-06,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,78.78,304.37,239.79,4985185.0,4891036.0,0.0,0.0,1785,4.46
2024-07,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,81.74,320.18,261.73,5441292.0,4891036.0,0.0,0.0,1966,4.84
2024-08,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,81.94,313.79,257.13,5345710.0,4891036.0,0.0,0.0,2418,5.1
2024-09,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,79.54,290.7,231.23,4807172.0,4891036.0,83864.0,1.71,2332,2.12
2024-10,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,84.18,268.09,225.69,4691999.0,4891036.0,199037.0,4.07,1955,2.83
2024-11,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,84.19,313.27,263.74,5483161.0,4891036.0,0.0,0.0,1128,4.99
2024-12,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,83.72,313.75,262.68,5461049.0,4891036.0,0.0,0.0,1323,1.59
2025-01,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,68.45,304.63,208.53,4335261.0,4891036.0,555775.0,11.36,3016,5.42
2025-02,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,75.84,323.65,245.46,5103027.0,4891036.0,0.0,0.0,2040,1.93
2025-03,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,73.29,289.45,212.14,4410394.0,4891036.0,480643.0,9.83,2946,2.52
2025-04,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,64.5,310.58,200.34,4165024.0,4891036.0,726012.0,14.84,4193,2.96
2025-05,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,72.51,309.27,224.26,4662444.0,4891036.0,228592.0,4.67,2400,2.74
2025-06,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,49.1,322.34,158.26,3290301.0,4891036.0,1600736.0,32.73,6041,3.07
2025-07,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,53.17,292.09,155.29,3228541.0,4891036.0,1662495.0,33.99,5179,2.47
2025-08,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,47.78,313.79,149.92,3116817.0,4891036.0,1774219.0,36.27,3994,1.1
2025-09,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,49.74,306.49,152.43,3169085.0,4891036.0,1721951.0,35.21,4073,1.38
2025-10,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,51.99,291.18,151.39,3147380.0,4891036.0,1743657.0,35.65,5508,1.37
2025-11,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,48.27,311.12,150.16,3121875.0,4891036.0,1769161.0,36.17,6539,1.16
2025-12,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,59.78,281.39,168.2,3496898.0,4891036.0,1394138.0,28.5,5346,2.0
2026-01,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,36.18,319.44,115.57,2402782.0,4891036.0,2488254.0,50.87,7231,2.63
2026-02,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,42.26,294.75,124.56,2589662.0,4891036.0,2301374.0,47.05,4845,1.49
2026-03,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,36.81,271.21,99.84,2075594.0,4891036.0,2815442.0,57.56,5442,1.55
2026-04,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,51.49,308.48,158.83,3302130.0,4891036.0,1588907.0,32.49,3284,3.13
2026-05,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,54.89,301.23,165.34,3437445.0,4891036.0,1453591.0,29.72,5422,4.93
2026-06,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Saudi Arabia,High,693,52.45,317.19,166.36,3458661.0,4891036.0,1432375.0,29.29,6735,3.18
2024-01,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,78.04,427.25,333.44,6011844.0,5539515.0,0.0,0.0,2334,4.86
2024-02,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,80.71,416.35,336.04,6058829.0,5539515.0,0.0,0.0,1160,3.21
2024-03,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,80.39,390.1,313.58,5653922.0,5539515.0,0.0,0.0,2305,2.61
2024-04,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,80.91,367.08,297.0,5354882.0,5539515.0,184633.0,3.33,2343,2.4
2024-05,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,75.45,430.56,324.84,5856915.0,5539515.0,0.0,0.0,2428,2.45
2024-06,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,77.95,392.63,306.06,5518349.0,5539515.0,21166.0,0.38,2155,5.35
2024-07,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,79.47,437.79,347.9,6272594.0,5539515.0,0.0,0.0,1963,5.13
2024-08,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,77.34,382.47,295.82,5333567.0,5539515.0,205948.0,3.72,2364,2.71
2024-09,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,79.26,405.84,321.66,5799449.0,5539515.0,0.0,0.0,2111,1.78
2024-10,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,79.03,392.09,309.86,5586849.0,5539515.0,0.0,0.0,2482,3.34
2024-11,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,75.97,437.04,332.02,5986235.0,5539515.0,0.0,0.0,2642,3.36
2024-12,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,80.13,385.38,308.81,5567788.0,5539515.0,0.0,0.0,1720,4.5
2025-01,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,69.63,402.2,280.03,5049027.0,5539515.0,490488.0,8.85,2420,2.53
2025-02,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,68.79,378.29,260.23,4691880.0,5539515.0,847635.0,15.3,2231,3.13
2025-03,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,64.66,364.27,235.55,4246907.0,5539515.0,1292608.0,23.33,2661,3.12
2025-04,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,69.58,443.25,308.4,5560463.0,5539515.0,0.0,0.0,2853,2.91
2025-05,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,65.43,422.79,276.64,4987751.0,5539515.0,551764.0,9.96,4240,4.26
2025-06,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,46.82,411.01,192.42,3469247.0,5539515.0,2070268.0,37.37,6637,2.9
2025-07,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,47.21,366.55,173.06,3120352.0,5539515.0,2419163.0,43.67,3062,1.6
2025-08,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,54.18,385.81,209.04,3769069.0,5539515.0,1770446.0,31.96,4060,1.72
2025-09,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,55.87,402.54,224.89,4054756.0,5539515.0,1484759.0,26.8,4223,2.55
2025-10,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,57.22,407.89,233.39,4208060.0,5539515.0,1331455.0,24.04,3597,2.33
2025-11,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,48.42,410.34,198.7,3582502.0,5539515.0,1957013.0,35.33,4384,2.26
2025-12,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,44.07,384.22,169.34,3053209.0,5539515.0,2486306.0,44.88,3352,1.48
2026-01,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,36.53,365.52,133.53,2407555.0,5539515.0,3131960.0,56.54,4751,1.58
2026-02,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,28.32,410.44,116.23,2095623.0,5539515.0,3443892.0,62.17,8033,1.37
2026-03,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,28.34,367.69,104.2,1878725.0,5539515.0,3660790.0,66.09,7972,2.33
2026-04,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,43.38,395.34,171.48,3091778.0,5539515.0,2447737.0,44.19,4174,3.66
2026-05,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,48.01,364.97,175.22,3159228.0,5539515.0,2380287.0,42.97,3670,4.2
2026-06,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Qatar,High,601,51.38,409.35,210.31,3791967.0,5539515.0,1747549.0,31.55,5305,2.2
2024-01,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,70.53,272.79,192.41,7780955.0,8409050.0,628095.0,7.47,4073,2.14
2024-02,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,70.4,256.7,180.71,7307880.0,8409050.0,1101170.0,13.1,4013,2.51
2024-03,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,68.74,303.82,208.83,8445153.0,8409050.0,0.0,0.0,6129,1.72
2024-04,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,71.0,269.74,191.5,7744365.0,8409050.0,664685.0,7.9,4133,2.65
2024-05,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,73.03,294.79,215.29,8706198.0,8409050.0,0.0,0.0,4627,1.55
2024-06,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,70.38,291.28,204.99,8289705.0,8409050.0,119345.0,1.42,4331,5.23
2024-07,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,69.72,280.47,195.56,7908285.0,8409050.0,500765.0,5.96,4381,2.26
2024-08,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,71.45,302.97,216.47,8754244.0,8409050.0,0.0,0.0,5033,4.65
2024-09,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,69.59,291.97,203.17,8216038.0,8409050.0,193012.0,2.3,7946,3.29
2024-10,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,70.8,303.83,215.13,8699710.0,8409050.0,0.0,0.0,8173,2.46
2024-11,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,70.24,306.31,215.14,8700209.0,8409050.0,0.0,0.0,5446,5.45
2024-12,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,72.53,309.25,224.31,9071173.0,8409050.0,0.0,0.0,4807,1.9
2025-01,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,57.2,303.91,173.84,7030150.0,8409050.0,1378900.0,16.4,11907,1.8
2025-02,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,58.94,273.22,161.04,6512537.0,8409050.0,1896513.0,22.55,9459,3.63
2025-03,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,62.75,289.56,181.71,7348216.0,8409050.0,1060834.0,12.62,5933,4.24
2025-04,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,58.55,294.45,172.4,6971698.0,8409050.0,1437352.0,17.09,5702,2.17
2025-05,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,56.46,279.0,157.51,6369840.0,8409050.0,2039210.0,24.25,7002,3.15
2025-06,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,41.06,293.28,120.43,4870112.0,8409050.0,3538938.0,42.08,11894,2.3
2025-07,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,45.06,280.95,126.59,5119159.0,8409050.0,3289891.0,39.12,9222,2.21
2025-08,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,52.47,293.69,154.1,6231645.0,8409050.0,2177405.0,25.89,9278,1.63
2025-09,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,40.1,271.37,108.82,4400839.0,8409050.0,4008211.0,47.67,14042,0.95
2025-10,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,38.72,309.72,119.92,4849459.0,8409050.0,3559591.0,42.33,16461,2.69
2025-11,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,49.49,267.02,132.16,5344549.0,8409050.0,3064501.0,36.44,7680,1.5
2025-12,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,48.16,290.13,139.73,5650863.0,8409050.0,2758187.0,32.8,6619,2.79
2026-01,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,37.02,278.14,102.96,4163841.0,8409050.0,4245209.0,50.48,9686,2.79
2026-02,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,25.84,306.35,79.16,3201149.0,8409050.0,5207901.0,61.93,20323,3.22
2026-03,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,29.28,297.3,87.04,3519697.0,8409050.0,4889353.0,58.14,11161,2.52
2026-04,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,36.36,276.95,100.71,4072638.0,8409050.0,4336412.0,51.57,10442,1.99
2026-05,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,44.06,275.65,121.45,4911336.0,8409050.0,3497714.0,41.59,12893,3.39
2026-06,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Bahrain,Very High,1348,44.19,290.58,128.4,5192442.0,8409050.0,3216608.0,38.25,10962,4.3
2024-01,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,65.64,194.95,127.96,867570.0,867650.0,80.0,0.01,1323,4.47
2024-02,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,69.02,181.0,124.93,847040.0,867650.0,20610.0,2.38,1041,3.13
2024-03,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,69.05,210.77,145.54,986777.0,867650.0,0.0,0.0,712,4.24
2024-04,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,66.9,181.91,121.7,825152.0,867650.0,42498.0,4.9,1434,3.32
2024-05,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,67.53,186.69,126.07,854733.0,867650.0,12917.0,1.49,771,3.76
2024-06,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,64.39,190.03,122.36,829622.0,867650.0,38028.0,4.38,866,5.1
2024-07,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,64.04,183.97,117.82,798820.0,867650.0,68830.0,7.93,1375,1.6
2024-08,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,64.11,179.16,114.86,778726.0,867650.0,88924.0,10.25,1452,3.6
2024-09,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,67.97,196.93,133.85,907475.0,867650.0,0.0,0.0,1472,1.67
2024-10,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,68.16,179.49,122.35,829546.0,867650.0,38104.0,4.39,1061,3.11
2024-11,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,67.65,201.04,136.01,922132.0,867650.0,0.0,0.0,715,2.6
2024-12,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,67.37,194.96,131.35,890527.0,867650.0,0.0,0.0,1199,1.9
2025-01,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,61.25,185.56,113.66,770610.0,867650.0,97040.0,11.18,1262,2.41
2025-02,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,57.3,203.28,116.47,789682.0,867650.0,77968.0,8.99,1302,2.11
2025-03,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,53.47,206.18,110.25,747472.0,867650.0,120178.0,13.85,1970,3.73
2025-04,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,58.37,203.29,118.65,804468.0,867650.0,63182.0,7.28,1693,4.97
2025-05,Escalation,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,62.4,185.47,115.73,784630.0,867650.0,83020.0,9.57,1434,2.4
2025-06,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,41.16,208.87,85.97,582845.0,867650.0,284805.0,32.82,2545,3.24
2025-07,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,44.79,209.74,93.94,636941.0,867650.0,230709.0,26.59,1523,1.33
2025-08,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,40.79,199.39,81.33,551439.0,867650.0,316211.0,36.44,1847,1.24
2025-09,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,46.16,190.52,87.93,596186.0,867650.0,271464.0,31.29,1635,2.63
2025-10,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,37.43,201.42,75.38,511097.0,867650.0,356553.0,41.09,2416,1.55
2025-11,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,42.14,181.58,76.52,518800.0,867650.0,348850.0,40.21,1851,1.58
2025-12,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,45.11,200.69,90.53,613826.0,867650.0,253824.0,29.25,1127,1.62
2026-01,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,25.22,206.5,52.07,353062.0,867650.0,514588.0,59.31,1877,1.81
2026-02,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,33.11,211.02,69.86,473656.0,867650.0,393994.0,45.41,1437,0.94
2026-03,Peak Crisis,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,29.27,193.54,56.64,384015.0,867650.0,483635.0,55.74,1659,0.95
2026-04,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,45.15,180.57,81.52,552717.0,867650.0,314933.0,36.3,2371,2.47
2026-05,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,37.49,190.21,71.3,483434.0,867650.0,384216.0,44.28,1556,3.54
2026-06,Post-Ceasefire,Marriott International,USA,Luxury/Upper-Upscale,Kuwait,High,226,42.61,209.33,89.19,604709.0,867650.0,262941.0,30.3,2435,2.45
2024-01,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,94.52,437.85,413.84,6356523.0,5306742.0,0.0,0.0,549,4.07
2024-02,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,94.77,419.91,397.96,6112597.0,5306742.0,0.0,0.0,443,4.69
2024-03,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,91.92,411.45,378.18,5808867.0,5306742.0,0.0,0.0,515,4.08
2024-04,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,94.7,460.92,436.52,6704920.0,5306742.0,0.0,0.0,484,1.66
2024-05,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,94.21,461.22,434.52,6674228.0,5306742.0,0.0,0.0,426,4.74
2024-06,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,93.69,440.08,412.33,6333362.0,5306742.0,0.0,0.0,674,3.6
2024-07,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,92.05,437.66,402.85,6187851.0,5306742.0,0.0,0.0,392,4.02
2024-08,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,90.06,452.25,407.29,6256003.0,5306742.0,0.0,0.0,1047,3.91
2024-09,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,88.73,435.73,386.61,5938304.0,5306742.0,0.0,0.0,978,2.02
2024-10,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,Egypt,Low,512,92.76,391.08,362.79,5572379.0,5306742.0,0.0,0.0,645,5.29
